"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QLANDr","E_Euro","-8.3318615","K HA","PCT CHANGE"
"p_QLANDr","N_Afr","-6.937264","K HA","PCT CHANGE"
"p_QLANDr","SSA","-9.1315336","K HA","PCT CHANGE"
"p_QLANDr","S_Amer","-8.4805346","K HA","PCT CHANGE"
"p_QLANDr","AUS_NZ","-9.8266506","K HA","PCT CHANGE"
"p_QLANDr","EU","-3.7372684","K HA","PCT CHANGE"
"p_QLANDr","S_Asia","-4.235496","K HA","PCT CHANGE"
"p_QLANDr","CC_Amer","-5.0812287","K HA","PCT CHANGE"
"p_QLANDr","S_Afr","-8.6110067","K HA","PCT CHANGE"
"p_QLANDr","SE_Asia","-2.8495581","K HA","PCT CHANGE"
"p_QLANDr","CAN","-6.0680127","K HA","PCT CHANGE"
"p_QLANDr","US","-1.5527163","K HA","PCT CHANGE"
"p_QLANDr","CHN_MNG","-2.9624832","K HA","PCT CHANGE"
"p_QLANDr","M_East","-3.9922495","K HA","PCT CHANGE"
"p_QLANDr","JPN_KR","-1.4556017","K HA","PCT CHANGE"
"p_QLANDr","C_Asia","-5.9171147","K HA","PCT CHANGE"
