"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QLANDrl_Irrigated","E_Euro","8.0603924","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","N_Afr","3.2727723","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","SSA","4.8290544","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","S_Amer","4.3885264","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","AUS_NZ","3.7409649","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","EU","8.344039","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","S_Asia","3.9887249","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","CC_Amer","5.3690624","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","S_Afr","3.5040162","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","SE_Asia","7.8914113","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","CAN","10.12744","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","US","2.231482","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","CHN_MNG","2.9110866","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","M_East","5.1105037","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","JPN_KR","3.9426322","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","C_Asia","2.1621919","K HA","PCT CHANGE"
