"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_YIELDr","E_Euro","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","N_Afr","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","SSA","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","S_Amer","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","AUS_NZ","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","EU","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","S_Asia","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","CC_Amer","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","S_Afr","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","SE_Asia","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","CAN","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","US","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","CHN_MNG","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","M_East","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","JPN_KR","1e+10","MT / HA","NEW VALUE"
"p_YIELDr","C_Asia","1e+10","MT / HA","NEW VALUE"
