"VARIABLE","GID","DATA","UNITS","OUTPUT"
"p_QNITROgl_Rainfed","I00001","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00002","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00003","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00004","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00005","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00006","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00007","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00008","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00009","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00010","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00011","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00012","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00013","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00014","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00015","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00016","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00017","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00018","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00019","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00020","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00021","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00022","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00023","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00024","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00025","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00026","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00027","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00028","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00029","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00030","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00031","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00032","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00033","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00034","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00035","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00036","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00037","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00038","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00039","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00040","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00041","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00042","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00043","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00044","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00045","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00046","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00047","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00048","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00049","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00050","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00051","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00052","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00053","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00054","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00055","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00056","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00057","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00058","1e+10","MT","NEW VALUE"
"p_QNITROgl_Rainfed","I00059","1e+10","MT","NEW VALUE"
