"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QLANDr","E_Euro","1e+10","K HA","NEW VALUE"
"p_QLANDr","N_Afr","1e+10","K HA","NEW VALUE"
"p_QLANDr","SSA","1e+10","K HA","NEW VALUE"
"p_QLANDr","S_Amer","1e+10","K HA","NEW VALUE"
"p_QLANDr","AUS_NZ","1e+10","K HA","NEW VALUE"
"p_QLANDr","EU","1e+10","K HA","NEW VALUE"
"p_QLANDr","S_Asia","1e+10","K HA","NEW VALUE"
"p_QLANDr","CC_Amer","1e+10","K HA","NEW VALUE"
"p_QLANDr","S_Afr","1e+10","K HA","NEW VALUE"
"p_QLANDr","SE_Asia","1e+10","K HA","NEW VALUE"
"p_QLANDr","CAN","1e+10","K HA","NEW VALUE"
"p_QLANDr","US","1e+10","K HA","NEW VALUE"
"p_QLANDr","CHN_MNG","1e+10","K HA","NEW VALUE"
"p_QLANDr","M_East","1e+10","K HA","NEW VALUE"
"p_QLANDr","JPN_KR","1e+10","K HA","NEW VALUE"
"p_QLANDr","C_Asia","1e+10","K HA","NEW VALUE"
