"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QLANDrl_Rainfed","E_Euro","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","N_Afr","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","SSA","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","S_Amer","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","AUS_NZ","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","EU","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","S_Asia","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","CC_Amer","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","S_Afr","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","SE_Asia","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","CAN","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","US","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","CHN_MNG","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","M_East","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","JPN_KR","1e+10","K HA","NEW VALUE"
"p_QLANDrl_Rainfed","C_Asia","1e+10","K HA","NEW VALUE"
