"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QLANDrl_Irrigated","E_Euro","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","N_Afr","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","SSA","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","S_Amer","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","AUS_NZ","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","EU","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","S_Asia","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","CC_Amer","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","S_Afr","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","SE_Asia","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","CAN","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","US","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","CHN_MNG","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","M_East","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","JPN_KR","1e+10","K HA","BASE VALUE"
"p_QLANDrl_Irrigated","C_Asia","1e+10","K HA","BASE VALUE"
