"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QLANDrl_Rainfed","E_Euro","-9.1967793","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","N_Afr","-10.705606","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","SSA","-9.4166727","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","S_Amer","-9.5932732","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","AUS_NZ","-10.391427","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","EU","-5.0823288","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","S_Asia","-10.962487","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","CC_Amer","-8.9517069","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","S_Afr","-10.915816","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","SE_Asia","-6.6283092","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","CAN","-6.231657","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","US","-2.3746445","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","CHN_MNG","-10.439867","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","M_East","-8.6873531","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","JPN_KR","-9.5529509","K HA","PCT CHANGE"
"p_QLANDrl_Rainfed","C_Asia","-13.996419","K HA","PCT CHANGE"
