"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_PCROPr","E_Euro","225.9267","USD / MT","BASE VALUE"
"p_PCROPr","N_Afr","225.80026","USD / MT","BASE VALUE"
"p_PCROPr","SSA","225.44077","USD / MT","BASE VALUE"
"p_PCROPr","S_Amer","226.19164","USD / MT","BASE VALUE"
"p_PCROPr","AUS_NZ","225.83333","USD / MT","BASE VALUE"
"p_PCROPr","EU","226.67174","USD / MT","BASE VALUE"
"p_PCROPr","S_Asia","226.22223","USD / MT","BASE VALUE"
"p_PCROPr","CC_Amer","225.66406","USD / MT","BASE VALUE"
"p_PCROPr","S_Afr","225.86734","USD / MT","BASE VALUE"
"p_PCROPr","SE_Asia","225.91455","USD / MT","BASE VALUE"
"p_PCROPr","CAN","226.33496","USD / MT","BASE VALUE"
"p_PCROPr","US","226.02213","USD / MT","BASE VALUE"
"p_PCROPr","CHN_MNG","226.27892","USD / MT","BASE VALUE"
"p_PCROPr","M_East","226.07048","USD / MT","BASE VALUE"
"p_PCROPr","JPN_KR","225.70143","USD / MT","BASE VALUE"
"p_PCROPr","C_Asia","226.08696","USD / MT","BASE VALUE"
