"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QCROPr","E_Euro","436500","K MT","BASE VALUE"
"p_QCROPr","N_Afr","224300","K MT","BASE VALUE"
"p_QCROPr","SSA","890500","K MT","BASE VALUE"
"p_QCROPr","S_Amer","981000","K MT","BASE VALUE"
"p_QCROPr","AUS_NZ","78600","K MT","BASE VALUE"
"p_QCROPr","EU","856000","K MT","BASE VALUE"
"p_QCROPr","S_Asia","1440000","K MT","BASE VALUE"
"p_QCROPr","CC_Amer","256000","K MT","BASE VALUE"
"p_QCROPr","S_Afr","58800","K MT","BASE VALUE"
"p_QCROPr","SE_Asia","1182000","K MT","BASE VALUE"
"p_QCROPr","CAN","106130","K MT","BASE VALUE"
"p_QCROPr","US","849993.12","K MT","BASE VALUE"
"p_QCROPr","CHN_MNG","2940000","K MT","BASE VALUE"
"p_QCROPr","M_East","454000","K MT","BASE VALUE"
"p_QCROPr","JPN_KR","111200","K MT","BASE VALUE"
"p_QCROPr","C_Asia","75900","K MT","BASE VALUE"
