"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QCROPr","E_Euro","6995.6875","K MT","ABS CHANGE"
"p_QCROPr","N_Afr","40929.594","K MT","ABS CHANGE"
"p_QCROPr","SSA","10597.5","K MT","ABS CHANGE"
"p_QCROPr","S_Amer","36455.562","K MT","ABS CHANGE"
"p_QCROPr","AUS_NZ","5414.3594","K MT","ABS CHANGE"
"p_QCROPr","EU","37754.25","K MT","ABS CHANGE"
"p_QCROPr","S_Asia","171503","K MT","ABS CHANGE"
"p_QCROPr","CC_Amer","24527.25","K MT","ABS CHANGE"
"p_QCROPr","S_Afr","7718.8828","K MT","ABS CHANGE"
"p_QCROPr","SE_Asia","45774.125","K MT","ABS CHANGE"
"p_QCROPr","CAN","478.65625","K MT","ABS CHANGE"
"p_QCROPr","US","71092","K MT","ABS CHANGE"
"p_QCROPr","CHN_MNG","387694.75","K MT","ABS CHANGE"
"p_QCROPr","M_East","61505.594","K MT","ABS CHANGE"
"p_QCROPr","JPN_KR","13456.898","K MT","ABS CHANGE"
"p_QCROPr","C_Asia","13008.203","K MT","ABS CHANGE"
