"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QCRPTRADEr","E_Euro","-17637.316","K MT","NEW VALUE"
"p_QCRPTRADEr","N_Afr","-38571.875","K MT","NEW VALUE"
"p_QCRPTRADEr","SSA","119231.61","K MT","NEW VALUE"
"p_QCRPTRADEr","S_Amer","247351.2","K MT","NEW VALUE"
"p_QCRPTRADEr","AUS_NZ","20325.543","K MT","NEW VALUE"
"p_QCRPTRADEr","EU","-342038.5","K MT","NEW VALUE"
"p_QCRPTRADEr","S_Asia","30521.297","K MT","NEW VALUE"
"p_QCRPTRADEr","CC_Amer","-2455.21","K MT","NEW VALUE"
"p_QCRPTRADEr","S_Afr","14757.535","K MT","NEW VALUE"
"p_QCRPTRADEr","SE_Asia","130620.6","K MT","NEW VALUE"
"p_QCRPTRADEr","CAN","20892.023","K MT","NEW VALUE"
"p_QCRPTRADEr","US","82975.234","K MT","NEW VALUE"
"p_QCRPTRADEr","CHN_MNG","-29587.309","K MT","NEW VALUE"
"p_QCRPTRADEr","M_East","-24779.355","K MT","NEW VALUE"
"p_QCRPTRADEr","JPN_KR","-206937.25","K MT","NEW VALUE"
"p_QCRPTRADEr","C_Asia","-4668.2256","K MT","NEW VALUE"
