"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QCRPTRADEr","E_Euro","-16321.902","K MT","BASE VALUE"
"p_QCRPTRADEr","N_Afr","-38309.672","K MT","BASE VALUE"
"p_QCRPTRADEr","SSA","122729.77","K MT","BASE VALUE"
"p_QCRPTRADEr","S_Amer","247825.03","K MT","BASE VALUE"
"p_QCRPTRADEr","AUS_NZ","19664.645","K MT","BASE VALUE"
"p_QCRPTRADEr","EU","-332172.94","K MT","BASE VALUE"
"p_QCRPTRADEr","S_Asia","26665.719","K MT","BASE VALUE"
"p_QCRPTRADEr","CC_Amer","-3969.8477","K MT","BASE VALUE"
"p_QCRPTRADEr","S_Afr","13176.276","K MT","BASE VALUE"
"p_QCRPTRADEr","SE_Asia","131449.22","K MT","BASE VALUE"
"p_QCRPTRADEr","CAN","23681.492","K MT","BASE VALUE"
"p_QCRPTRADEr","US","76709.516","K MT","BASE VALUE"
"p_QCRPTRADEr","CHN_MNG","-34246.086","K MT","BASE VALUE"
"p_QCRPTRADEr","M_East","-27449.441","K MT","BASE VALUE"
"p_QCRPTRADEr","JPN_KR","-204670.56","K MT","BASE VALUE"
"p_QCRPTRADEr","C_Asia","-4761.2432","K MT","BASE VALUE"
