"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QCRPTRADEr","E_Euro","-1315.4141","K MT","ABS CHANGE"
"p_QCRPTRADEr","N_Afr","-262.20312","K MT","ABS CHANGE"
"p_QCRPTRADEr","SSA","-3498.1562","K MT","ABS CHANGE"
"p_QCRPTRADEr","S_Amer","-473.82812","K MT","ABS CHANGE"
"p_QCRPTRADEr","AUS_NZ","660.89844","K MT","ABS CHANGE"
"p_QCRPTRADEr","EU","-9865.5625","K MT","ABS CHANGE"
"p_QCRPTRADEr","S_Asia","3855.5781","K MT","ABS CHANGE"
"p_QCRPTRADEr","CC_Amer","1514.6377","K MT","ABS CHANGE"
"p_QCRPTRADEr","S_Afr","1581.2588","K MT","ABS CHANGE"
"p_QCRPTRADEr","SE_Asia","-828.61719","K MT","ABS CHANGE"
"p_QCRPTRADEr","CAN","-2789.4688","K MT","ABS CHANGE"
"p_QCRPTRADEr","US","6265.7188","K MT","ABS CHANGE"
"p_QCRPTRADEr","CHN_MNG","4658.7773","K MT","ABS CHANGE"
"p_QCRPTRADEr","M_East","2670.0859","K MT","ABS CHANGE"
"p_QCRPTRADEr","JPN_KR","-2266.6875","K MT","ABS CHANGE"
"p_QCRPTRADEr","C_Asia","93.017578","K MT","ABS CHANGE"
