"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QWATERha_r","E_Euro","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","N_Afr","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","SSA","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","S_Amer","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","AUS_NZ","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","EU","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","S_Asia","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","CC_Amer","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","S_Afr","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","SE_Asia","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","CAN","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","US","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","CHN_MNG","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","M_East","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","JPN_KR","1e+10","m^3 / YR / HA","BASE VALUE"
"p_QWATERha_r","C_Asia","1e+10","m^3 / YR / HA","BASE VALUE"
