"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QWATERha_r","E_Euro","16.277092","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","N_Afr","13.103259","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","SSA","14.088439","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","S_Amer","15.033921","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","AUS_NZ","16.476456","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","EU","13.083816","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","S_Asia","7.9777956","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","CC_Amer","12.781924","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","S_Afr","12.46981","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","SE_Asia","11.117389","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","CAN","12.070155","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","US","9.9879274","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","CHN_MNG","6.0234466","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","M_East","10.803727","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","JPN_KR","3.5035825","m^3 / YR / HA","PCT CHANGE"
"p_QWATERha_r","C_Asia","9.7322531","m^3 / YR / HA","PCT CHANGE"
