"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QWATERr","E_Euro","16.563774","K m^3 / YR","PCT CHANGE"
"p_QWATERr","N_Afr","8.3766489","K m^3 / YR","PCT CHANGE"
"p_QWATERr","SSA","14.10259","K m^3 / YR","PCT CHANGE"
"p_QWATERr","S_Amer","15.356499","K m^3 / YR","PCT CHANGE"
"p_QWATERr","AUS_NZ","15.37528","K m^3 / YR","PCT CHANGE"
"p_QWATERr","EU","12.143773","K m^3 / YR","PCT CHANGE"
"p_QWATERr","S_Asia","8.5643435","K m^3 / YR","PCT CHANGE"
"p_QWATERr","CC_Amer","12.91363","K m^3 / YR","PCT CHANGE"
"p_QWATERr","S_Afr","9.5325966","K m^3 / YR","PCT CHANGE"
"p_QWATERr","SE_Asia","12.947062","K m^3 / YR","PCT CHANGE"
"p_QWATERr","CAN","12.002901","K m^3 / YR","PCT CHANGE"
"p_QWATERr","US","9.7432051","K m^3 / YR","PCT CHANGE"
"p_QWATERr","CHN_MNG","8.4798994","K m^3 / YR","PCT CHANGE"
"p_QWATERr","M_East","9.6233988","K m^3 / YR","PCT CHANGE"
"p_QWATERr","JPN_KR","4.5101991","K m^3 / YR","PCT CHANGE"
"p_QWATERr","C_Asia","13.714777","K m^3 / YR","PCT CHANGE"
