"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QLANDr","E_Euro","0.24657473","K HA","PCT CHANGE"
"p_QLANDr","N_Afr","-4.1790218","K HA","PCT CHANGE"
"p_QLANDr","SSA","0.0124043934","K HA","PCT CHANGE"
"p_QLANDr","S_Amer","0.28041849","K HA","PCT CHANGE"
"p_QLANDr","AUS_NZ","-0.94540471","K HA","PCT CHANGE"
"p_QLANDr","EU","-0.83127975","K HA","PCT CHANGE"
"p_QLANDr","S_Asia","0.54321164","K HA","PCT CHANGE"
"p_QLANDr","CC_Amer","0.11677872","K HA","PCT CHANGE"
"p_QLANDr","S_Afr","-2.6115565","K HA","PCT CHANGE"
"p_QLANDr","SE_Asia","1.6466217","K HA","PCT CHANGE"
"p_QLANDr","CAN","-0.0600116327","K HA","PCT CHANGE"
"p_QLANDr","US","-0.22252034","K HA","PCT CHANGE"
"p_QLANDr","CHN_MNG","2.3168952","K HA","PCT CHANGE"
"p_QLANDr","M_East","-1.0652423","K HA","PCT CHANGE"
"p_QLANDr","JPN_KR","0.9725427","K HA","PCT CHANGE"
"p_QLANDr","C_Asia","3.6293101","K HA","PCT CHANGE"
