"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QLANDrl_Irrigated","E_Euro","16.886431","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","N_Afr","6.8198352","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","SSA","14.379456","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","S_Amer","13.72231","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","AUS_NZ","13.400441","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","EU","11.845544","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","S_Asia","8.7592602","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","CC_Amer","11.224741","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","S_Afr","9.5160656","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","SE_Asia","12.387139","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","CAN","15.9519","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","US","3.7130864","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","CHN_MNG","8.1768274","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","M_East","8.6952658","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","JPN_KR","6.1260614","K HA","PCT CHANGE"
"p_QLANDrl_Irrigated","C_Asia","12.140979","K HA","PCT CHANGE"
