"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_PCROPr","E_Euro","0","USD / MT","PCT CHANGE"
"p_PCROPr","N_Afr","0","USD / MT","PCT CHANGE"
"p_PCROPr","SSA","0","USD / MT","PCT CHANGE"
"p_PCROPr","S_Amer","0","USD / MT","PCT CHANGE"
"p_PCROPr","AUS_NZ","0","USD / MT","PCT CHANGE"
"p_PCROPr","EU","0","USD / MT","PCT CHANGE"
"p_PCROPr","S_Asia","0","USD / MT","PCT CHANGE"
"p_PCROPr","CC_Amer","0","USD / MT","PCT CHANGE"
"p_PCROPr","S_Afr","0","USD / MT","PCT CHANGE"
"p_PCROPr","SE_Asia","0","USD / MT","PCT CHANGE"
"p_PCROPr","CAN","0","USD / MT","PCT CHANGE"
"p_PCROPr","US","0","USD / MT","PCT CHANGE"
"p_PCROPr","CHN_MNG","0","USD / MT","PCT CHANGE"
"p_PCROPr","M_East","0","USD / MT","PCT CHANGE"
"p_PCROPr","JPN_KR","0","USD / MT","PCT CHANGE"
"p_PCROPr","C_Asia","0","USD / MT","PCT CHANGE"
