"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QCROPr","E_Euro","443495.69","K MT","NEW VALUE"
"p_QCROPr","N_Afr","265229.59","K MT","NEW VALUE"
"p_QCROPr","SSA","901097.5","K MT","NEW VALUE"
"p_QCROPr","S_Amer","1017455.6","K MT","NEW VALUE"
"p_QCROPr","AUS_NZ","84014.359","K MT","NEW VALUE"
"p_QCROPr","EU","893754.25","K MT","NEW VALUE"
"p_QCROPr","S_Asia","1611503","K MT","NEW VALUE"
"p_QCROPr","CC_Amer","280527.25","K MT","NEW VALUE"
"p_QCROPr","S_Afr","66518.883","K MT","NEW VALUE"
"p_QCROPr","SE_Asia","1227774.1","K MT","NEW VALUE"
"p_QCROPr","CAN","106608.66","K MT","NEW VALUE"
"p_QCROPr","US","921085.12","K MT","NEW VALUE"
"p_QCROPr","CHN_MNG","3327694.8","K MT","NEW VALUE"
"p_QCROPr","M_East","515505.59","K MT","NEW VALUE"
"p_QCROPr","JPN_KR","124656.9","K MT","NEW VALUE"
"p_QCROPr","C_Asia","88908.203","K MT","NEW VALUE"
