"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QCROPr","E_Euro","1.6026802","K MT","PCT CHANGE"
"p_QCROPr","N_Afr","18.247698","K MT","PCT CHANGE"
"p_QCROPr","SSA","1.1900643","K MT","PCT CHANGE"
"p_QCROPr","S_Amer","3.7161603","K MT","PCT CHANGE"
"p_QCROPr","AUS_NZ","6.8885016","K MT","PCT CHANGE"
"p_QCROPr","EU","4.4105458","K MT","PCT CHANGE"
"p_QCROPr","S_Asia","11.909934","K MT","PCT CHANGE"
"p_QCROPr","CC_Amer","9.5809622","K MT","PCT CHANGE"
"p_QCROPr","S_Afr","13.127353","K MT","PCT CHANGE"
"p_QCROPr","SE_Asia","3.8725986","K MT","PCT CHANGE"
"p_QCROPr","CAN","0.45101061","K MT","PCT CHANGE"
"p_QCROPr","US","8.3638306","K MT","PCT CHANGE"
"p_QCROPr","CHN_MNG","13.186897","K MT","PCT CHANGE"
"p_QCROPr","M_East","13.547487","K MT","PCT CHANGE"
"p_QCROPr","JPN_KR","12.101529","K MT","PCT CHANGE"
"p_QCROPr","C_Asia","17.138607","K MT","PCT CHANGE"
