"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QCRPTRADEr","E_Euro","8.0591927","K MT","PCT CHANGE"
"p_QCRPTRADEr","N_Afr","0.68443531","K MT","PCT CHANGE"
"p_QCRPTRADEr","SSA","-2.8502898","K MT","PCT CHANGE"
"p_QCRPTRADEr","S_Amer","-0.19119278","K MT","PCT CHANGE"
"p_QCRPTRADEr","AUS_NZ","3.3608413","K MT","PCT CHANGE"
"p_QCRPTRADEr","EU","2.9700072","K MT","PCT CHANGE"
"p_QCRPTRADEr","S_Asia","14.458933","K MT","PCT CHANGE"
"p_QCRPTRADEr","CC_Amer","-38.153545","K MT","PCT CHANGE"
"p_QCRPTRADEr","S_Afr","12.000803","K MT","PCT CHANGE"
"p_QCRPTRADEr","SE_Asia","-0.63037127","K MT","PCT CHANGE"
"p_QCRPTRADEr","CAN","-11.779107","K MT","PCT CHANGE"
"p_QCRPTRADEr","US","8.168107","K MT","PCT CHANGE"
"p_QCRPTRADEr","CHN_MNG","-13.603822","K MT","PCT CHANGE"
"p_QCRPTRADEr","M_East","-9.7272863","K MT","PCT CHANGE"
"p_QCRPTRADEr","JPN_KR","1.1074824","K MT","PCT CHANGE"
"p_QCRPTRADEr","C_Asia","-1.9536387","K MT","PCT CHANGE"
