"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_YIELDr","E_Euro","-10.954702","MT / HA","PCT CHANGE"
"p_YIELDr","N_Afr","2.6933098","MT / HA","PCT CHANGE"
"p_YIELDr","SSA","-11.701339","MT / HA","PCT CHANGE"
"p_YIELDr","S_Amer","-9.2230701","MT / HA","PCT CHANGE"
"p_YIELDr","AUS_NZ","-5.1608677","MT / HA","PCT CHANGE"
"p_YIELDr","EU","-12.394294","MT / HA","PCT CHANGE"
"p_YIELDr","S_Asia","-2.1812925","MT / HA","PCT CHANGE"
"p_YIELDr","CC_Amer","-4.9848094","MT / HA","PCT CHANGE"
"p_YIELDr","S_Afr","0.2091437","MT / HA","PCT CHANGE"
"p_YIELDr","SE_Asia","-10.333842","MT / HA","PCT CHANGE"
"p_YIELDr","CAN","-14.451549","MT / HA","PCT CHANGE"
"p_YIELDr","US","-10.82667","MT / HA","PCT CHANGE"
"p_YIELDr","CHN_MNG","-3.7719934","MT / HA","PCT CHANGE"
"p_YIELDr","M_East","-4.3002024","MT / HA","PCT CHANGE"
"p_YIELDr","JPN_KR","-4.8699684","MT / HA","PCT CHANGE"
"p_YIELDr","C_Asia","-0.37959641","MT / HA","PCT CHANGE"
