"VARIABLE","GID","DATA","UNITS","OUTPUT"
"p_QWATERg","I00001","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00002","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00003","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00004","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00005","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00006","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00007","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00008","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00009","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00010","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00011","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00012","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00013","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00014","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00015","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00016","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00017","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00018","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00019","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00020","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00021","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00022","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00023","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00024","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00025","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00026","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00027","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00028","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00029","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00030","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00031","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00032","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00033","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00034","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00035","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00036","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00037","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00038","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00039","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00040","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00041","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00042","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00043","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00044","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00045","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00046","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00047","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00048","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00049","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00050","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00051","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00052","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00053","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00054","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00055","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00056","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00057","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00058","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00059","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00060","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00061","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00062","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00063","1e+10","K m^3 / YR","NEW VALUE"
"p_QWATERg","I00064","1e+10","K m^3 / YR","NEW VALUE"
