"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QWATERr","E_Euro","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","N_Afr","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","SSA","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","S_Amer","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","AUS_NZ","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","EU","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","S_Asia","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","CC_Amer","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","S_Afr","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","SE_Asia","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","CAN","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","US","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","CHN_MNG","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","M_East","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","JPN_KR","1e+10","K m^3 / YR","BASE VALUE"
"p_QWATERr","C_Asia","1e+10","K m^3 / YR","BASE VALUE"
