x,y,STATE
-124.4583333,42.79166693,OR
-124.4583333,42.87500026,OR
-124.375,42.45833361,OR
-124.375,42.95833359,OR
-124.375,43.04166692,OR
-124.375,43.12500025,OR
-124.375,43.20833358,OR
-124.375,47.95833339,WA
-124.2916667,40.54166702,CA
-124.2916667,43.12500025,OR
-124.2916667,43.20833358,OR
-124.2083334,40.54166702,CA
-124.2083334,40.62500035,CA
-124.2083334,42.04166696,OR
-124.2083334,42.12500029,OR
-124.2083334,43.12500025,OR
-124.2083334,43.29166691,OR
-124.2083334,43.45833357,OR
-124.1250001,40.54166702,CA
-124.1250001,40.87500034,CA
-124.1250001,42.12500029,OR
-124.1250001,42.20833362,OR
-124.1250001,42.95833359,OR
-124.1250001,43.04166692,OR
-124.1250001,43.12500025,OR
-124.1250001,43.20833358,OR
-124.1250001,43.29166691,OR
-124.1250001,43.37500024,OR
-124.1250001,43.45833357,OR
-124.0416668,40.54166702,CA
-124.0416668,43.12500025,OR
-124.0416668,43.20833358,OR
-124.0416668,43.37500024,OR
-123.9583335,40.37500036,CA
-123.9583335,40.45833369,CA
-123.9583335,43.79166689,OR
-123.9583335,44.70833352,OR
-123.9583335,44.79166685,OR
-123.9583335,44.87500018,OR
-123.9583335,47.20833342,WA
-123.8750002,40.37500036,CA
-123.8750002,43.12500025,OR
-123.8750002,43.5416669,OR
-123.8750002,44.12500021,OR
-123.8750002,44.70833352,OR
-123.8750002,44.79166685,OR
-123.8750002,45.12500017,OR
-123.8750002,45.2083335,OR
-123.8750002,45.29166683,OR
-123.8750002,45.45833349,OR
-123.8750002,45.70833348,OR
-123.8750002,45.79166681,OR
-123.8750002,46.12500013,OR
-123.7916669,42.37500028,OR
-123.7916669,43.5416669,OR
-123.7916669,44.70833352,OR
-123.7916669,44.79166685,OR
-123.7916669,45.37500016,OR
-123.7916669,45.45833349,OR
-123.7916669,45.54166682,OR
-123.7916669,45.70833348,OR
-123.7916669,45.79166681,OR
-123.7916669,47.12500009,WA
-123.7083336,42.20833362,OR
-123.7083336,42.29166695,OR
-123.7083336,43.62500023,OR
-123.7083336,43.70833356,OR
-123.7083336,44.3750002,OR
-123.7083336,44.62500019,OR
-123.7083336,44.87500018,OR
-123.7083336,45.12500017,OR
-123.7083336,45.45833349,OR
-123.7083336,46.12500013,OR
-123.7083336,46.70833344,WA
-123.7083336,46.8750001,WA
-123.7083336,47.04166676,WA
-123.7083336,47.12500009,WA
-123.6250003,40.95833367,CA
-123.6250003,42.12500029,OR
-123.6250003,42.20833362,OR
-123.6250003,42.29166695,OR
-123.6250003,43.37500024,OR
-123.6250003,43.62500023,OR
-123.6250003,44.3750002,OR
-123.6250003,44.62500019,OR
-123.6250003,44.79166685,OR
-123.6250003,45.04166684,OR
-123.6250003,45.12500017,OR
-123.6250003,45.87500014,OR
-123.6250003,46.12500013,OR
-123.6250003,46.37500012,WA
-123.6250003,46.95833343,WA
-123.6250003,47.04166676,WA
-123.6250003,47.12500009,WA
-123.541667,39.12500041,CA
-123.541667,42.12500029,OR
-123.541667,42.45833361,OR
-123.541667,43.12500025,OR
-123.541667,43.20833358,OR
-123.541667,43.5416669,OR
-123.541667,43.62500023,OR
-123.541667,44.20833354,OR
-123.541667,44.3750002,OR
-123.541667,44.54166686,OR
-123.541667,44.62500019,OR
-123.541667,44.70833352,OR
-123.541667,45.04166684,OR
-123.541667,45.12500017,OR
-123.541667,45.87500014,OR
-123.541667,45.95833347,OR
-123.541667,46.12500013,OR
-123.541667,46.37500012,WA
-123.541667,46.95833343,WA
-123.541667,47.04166676,WA
-123.541667,47.12500009,WA
-123.4583337,39.04166708,CA
-123.4583337,39.12500041,CA
-123.4583337,39.62500039,CA
-123.4583337,39.70833372,CA
-123.4583337,42.37500028,OR
-123.4583337,42.45833361,OR
-123.4583337,42.7083336,OR
-123.4583337,42.87500026,OR
-123.4583337,42.95833359,OR
-123.4583337,43.12500025,OR
-123.4583337,43.20833358,OR
-123.4583337,43.29166691,OR
-123.4583337,43.37500024,OR
-123.4583337,44.04166688,OR
-123.4583337,44.12500021,OR
-123.4583337,44.20833354,OR
-123.4583337,44.45833353,OR
-123.4583337,44.54166686,OR
-123.4583337,44.62500019,OR
-123.4583337,44.70833352,OR
-123.4583337,44.79166685,OR
-123.4583337,44.87500018,OR
-123.4583337,44.95833351,OR
-123.4583337,45.04166684,OR
-123.4583337,45.12500017,OR
-123.4583337,45.95833347,OR
-123.4583337,46.12500013,OR
-123.4583337,46.29166679,WA
-123.4583337,46.95833343,WA
-123.4583337,47.04166676,WA
-123.4583337,47.12500009,WA
-123.4583337,47.20833342,WA
-123.3750004,38.95833375,CA
-123.3750004,39.04166708,CA
-123.3750004,41.79166697,CA
-123.3750004,41.8750003,CA
-123.3750004,42.37500028,OR
-123.3750004,42.45833361,OR
-123.3750004,42.54166694,OR
-123.3750004,42.87500026,OR
-123.3750004,42.95833359,OR
-123.3750004,43.04166692,OR
-123.3750004,43.12500025,OR
-123.3750004,43.20833358,OR
-123.3750004,43.29166691,OR
-123.3750004,43.37500024,OR
-123.3750004,43.62500023,OR
-123.3750004,43.95833355,OR
-123.3750004,44.04166688,OR
-123.3750004,44.12500021,OR
-123.3750004,44.20833354,OR
-123.3750004,44.29166687,OR
-123.3750004,44.3750002,OR
-123.3750004,44.45833353,OR
-123.3750004,44.54166686,OR
-123.3750004,44.62500019,OR
-123.3750004,44.70833352,OR
-123.3750004,44.79166685,OR
-123.3750004,44.87500018,OR
-123.3750004,44.95833351,OR
-123.3750004,45.04166684,OR
-123.3750004,45.12500017,OR
-123.3750004,45.2083335,OR
-123.3750004,46.12500013,OR
-123.3750004,46.29166679,WA
-123.3750004,46.54166678,WA
-123.3750004,46.95833343,WA
-123.3750004,47.12500009,WA
-123.2916671,42.20833362,OR
-123.2916671,42.29166695,OR
-123.2916671,42.45833361,OR
-123.2916671,42.79166693,OR
-123.2916671,42.95833359,OR
-123.2916671,43.04166692,OR
-123.2916671,43.12500025,OR
-123.2916671,43.20833358,OR
-123.2916671,43.29166691,OR
-123.2916671,43.37500024,OR
-123.2916671,43.45833357,OR
-123.2916671,43.5416669,OR
-123.2916671,43.62500023,OR
-123.2916671,43.87500022,OR
-123.2916671,43.95833355,OR
-123.2916671,44.04166688,OR
-123.2916671,44.12500021,OR
-123.2916671,44.20833354,OR
-123.2916671,44.29166687,OR
-123.2916671,44.3750002,OR
-123.2916671,44.45833353,OR
-123.2916671,44.54166686,OR
-123.2916671,44.62500019,OR
-123.2916671,44.70833352,OR
-123.2916671,44.79166685,OR
-123.2916671,44.87500018,OR
-123.2916671,44.95833351,OR
-123.2916671,45.04166684,OR
-123.2916671,45.12500017,OR
-123.2916671,45.2083335,OR
-123.2916671,45.29166683,OR
-123.2916671,45.37500016,OR
-123.2916671,45.45833349,OR
-123.2916671,45.62500015,OR
-123.2916671,45.79166681,OR
-123.2916671,45.87500014,OR
-123.2916671,46.0416668,OR
-123.2916671,46.12500013,OR
-123.2916671,46.54166678,WA
-123.2916671,46.62500011,WA
-123.2916671,46.70833344,WA
-123.2916671,46.79166677,WA
-123.2916671,46.8750001,WA
-123.2916671,46.95833343,WA
-123.2083338,39.04166708,CA
-123.2083338,39.12500041,CA
-123.2083338,39.20833374,CA
-123.2083338,39.29166707,CA
-123.2083338,39.79166705,CA
-123.2083338,40.54166702,CA
-123.2083338,42.20833362,OR
-123.2083338,42.29166695,OR
-123.2083338,42.45833361,OR
-123.2083338,42.54166694,OR
-123.2083338,42.79166693,OR
-123.2083338,42.87500026,OR
-123.2083338,42.95833359,OR
-123.2083338,43.04166692,OR
-123.2083338,43.12500025,OR
-123.2083338,43.20833358,OR
-123.2083338,43.29166691,OR
-123.2083338,43.37500024,OR
-123.2083338,43.45833357,OR
-123.2083338,43.5416669,OR
-123.2083338,43.62500023,OR
-123.2083338,43.79166689,OR
-123.2083338,43.87500022,OR
-123.2083338,43.95833355,OR
-123.2083338,44.04166688,OR
-123.2083338,44.12500021,OR
-123.2083338,44.20833354,OR
-123.2083338,44.29166687,OR
-123.2083338,44.3750002,OR
-123.2083338,44.45833353,OR
-123.2083338,44.54166686,OR
-123.2083338,44.62500019,OR
-123.2083338,44.70833352,OR
-123.2083338,44.79166685,OR
-123.2083338,44.87500018,OR
-123.2083338,44.95833351,OR
-123.2083338,45.04166684,OR
-123.2083338,45.12500017,OR
-123.2083338,45.2083335,OR
-123.2083338,45.29166683,OR
-123.2083338,45.37500016,OR
-123.2083338,45.45833349,OR
-123.2083338,45.54166682,OR
-123.2083338,45.62500015,OR
-123.2083338,45.70833348,OR
-123.2083338,45.87500014,OR
-123.2083338,46.12500013,OR
-123.2083338,46.20833346,WA
-123.2083338,46.62500011,WA
-123.2083338,46.70833344,WA
-123.2083338,46.79166677,WA
-123.2083338,46.8750001,WA
-123.2083338,47.20833342,WA
-123.2083338,47.29166675,WA
-123.1250005,38.95833375,CA
-123.1250005,39.04166708,CA
-123.1250005,39.12500041,CA
-123.1250005,39.29166707,CA
-123.1250005,39.3750004,CA
-123.1250005,42.12500029,OR
-123.1250005,42.20833362,OR
-123.1250005,42.29166695,OR
-123.1250005,42.37500028,OR
-123.1250005,42.45833361,OR
-123.1250005,42.54166694,OR
-123.1250005,42.79166693,OR
-123.1250005,42.95833359,OR
-123.1250005,43.04166692,OR
-123.1250005,43.12500025,OR
-123.1250005,43.20833358,OR
-123.1250005,43.29166691,OR
-123.1250005,43.37500024,OR
-123.1250005,43.45833357,OR
-123.1250005,43.5416669,OR
-123.1250005,43.62500023,OR
-123.1250005,43.70833356,OR
-123.1250005,43.87500022,OR
-123.1250005,43.95833355,OR
-123.1250005,44.04166688,OR
-123.1250005,44.12500021,OR
-123.1250005,44.20833354,OR
-123.1250005,44.29166687,OR
-123.1250005,44.3750002,OR
-123.1250005,44.45833353,OR
-123.1250005,44.54166686,OR
-123.1250005,44.62500019,OR
-123.1250005,44.70833352,OR
-123.1250005,44.79166685,OR
-123.1250005,44.87500018,OR
-123.1250005,44.95833351,OR
-123.1250005,45.04166684,OR
-123.1250005,45.12500017,OR
-123.1250005,45.2083335,OR
-123.1250005,45.29166683,OR
-123.1250005,45.37500016,OR
-123.1250005,45.45833349,OR
-123.1250005,45.54166682,OR
-123.1250005,45.62500015,OR
-123.1250005,45.70833348,OR
-123.1250005,45.87500014,OR
-123.1250005,45.95833347,OR
-123.1250005,46.0416668,OR
-123.1250005,46.12500013,OR
-123.1250005,46.20833346,WA
-123.1250005,46.45833345,WA
-123.1250005,46.54166678,WA
-123.1250005,46.62500011,WA
-123.1250005,46.70833344,WA
-123.1250005,46.79166677,WA
-123.1250005,46.8750001,WA
-123.1250005,47.12500009,WA
-123.1250005,47.20833342,WA
-123.1250005,47.29166675,WA
-123.0416672,38.70833376,CA
-123.0416672,38.79166709,CA
-123.0416672,38.95833375,CA
-123.0416672,39.04166708,CA
-123.0416672,39.29166707,CA
-123.0416672,42.12500029,OR
-123.0416672,42.20833362,OR
-123.0416672,42.37500028,OR
-123.0416672,42.45833361,OR
-123.0416672,42.54166694,OR
-123.0416672,42.95833359,OR
-123.0416672,43.29166691,OR
-123.0416672,43.45833357,OR
-123.0416672,43.62500023,OR
-123.0416672,43.70833356,OR
-123.0416672,43.79166689,OR
-123.0416672,43.87500022,OR
-123.0416672,43.95833355,OR
-123.0416672,44.04166688,OR
-123.0416672,44.12500021,OR
-123.0416672,44.20833354,OR
-123.0416672,44.29166687,OR
-123.0416672,44.3750002,OR
-123.0416672,44.45833353,OR
-123.0416672,44.54166686,OR
-123.0416672,44.62500019,OR
-123.0416672,44.70833352,OR
-123.0416672,44.79166685,OR
-123.0416672,44.87500018,OR
-123.0416672,44.95833351,OR
-123.0416672,45.04166684,OR
-123.0416672,45.12500017,OR
-123.0416672,45.2083335,OR
-123.0416672,45.29166683,OR
-123.0416672,45.37500016,OR
-123.0416672,45.45833349,OR
-123.0416672,45.54166682,OR
