REG,STATE,LTYPE,GID,MLRA,FRR,WBD
E_Euro,AL,Irrigated,I00001,NFFSC,HEARTLND,NEW_ENG
N_Afr,AZ,Rainfed,I00002,CSFTSC,N_CRESC,MID_ATL
SSA,AR,,I00003,NWRR,N_GRTPLN,S_ATL_GLF
S_Amer,CA,,I00004,WRI,PRAIRIE_G,GRT_LAKES
AUS_NZ,CO,,I00005,RMRF,E_UPLAND,OH_REG
EU,CT,,I00006,WGPRI,S_SEABRD,TN_REG
S_Asia,DE,,I00007,NGPSW,FRUIT_RIM,UP_MS_REG
CC_Amer,FL,,I00008,CGPWWR,BASIN_RNG,LO_MS_REG
S_Afr,GA,,I00009,SPPRC,MS_PORT,SOURIS
SE_Asia,ID,,I00010,SPCF,,MO_REG
CAN,IL,,I00011,CFGL,,WHITE_RED
US,IN,,I00012,AGCLFC,,TXS_GULF
CHN_MNG,IA,,I00013,ECFF,,RIO_GRND
M_East,KS,,I00014,SAGSCCFL,,UP_CO_REG
JPN_KR,KY,,I00015,NLSFF,,LO_CO_REG
C_Asia,LA,,I00016,MDCFG,,GRT_BASIN
,ME,,I00017,LSFTCD,,PAC_NW
,MD,,I00018,NFF,,CA_REG
,MA,,I00019,FSFTCR,,
,MI,,I00020,NASDF,,
,MN,,I00021,,,
,MS,,I00022,,,
,MO,,I00023,,,
,MT,,I00024,,,
,NE,,I00025,,,
,NV,,I00026,,,
,NH,,I00027,,,
,NJ,,I00028,,,
,NM,,I00029,,,
,NY,,I00030,,,
,NC,,I00031,,,
,ND,,I00032,,,
,OH,,I00033,,,
,OK,,I00034,,,
,OR,,I00035,,,
,PA,,I00036,,,
,RI,,I00037,,,
,SC,,I00038,,,
,SD,,I00039,,,
,TN,,I00040,,,
,TX,,I00041,,,
,UT,,I00042,,,
,VT,,I00043,,,
,VA,,I00044,,,
,WA,,I00045,,,
,WV,,I00046,,,
,WI,,I00047,,,
,WY,,I00048,,,
,ROW,,I00049,,,
,,,I00050,,,
,,,I00051,,,
,,,I00052,,,
,,,I00053,,,
