"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QCROPr","E_Euro","356298.22","K MT","NEW VALUE"
"p_QCROPr","N_Afr","214361.72","K MT","NEW VALUE"
"p_QCROPr","SSA","714498.38","K MT","NEW VALUE"
"p_QCROPr","S_Amer","815000.69","K MT","NEW VALUE"
"p_QCROPr","AUS_NZ","67218.422","K MT","NEW VALUE"
"p_QCROPr","EU","721878.88","K MT","NEW VALUE"
"p_QCROPr","S_Asia","1348928.6","K MT","NEW VALUE"
"p_QCROPr","CC_Amer","230879.36","K MT","NEW VALUE"
"p_QCROPr","S_Afr","53849.113","K MT","NEW VALUE"
"p_QCROPr","SE_Asia","1029652.8","K MT","NEW VALUE"
"p_QCROPr","CAN","85283.266","K MT","NEW VALUE"
"p_QCROPr","US","746198.12","K MT","NEW VALUE"
"p_QCROPr","CHN_MNG","2745291.8","K MT","NEW VALUE"
"p_QCROPr","M_East","417131.66","K MT","NEW VALUE"
"p_QCROPr","JPN_KR","104244.8","K MT","NEW VALUE"
"p_QCROPr","C_Asia","71137.844","K MT","NEW VALUE"
