"VARIABLE","REG","DATA","UNITS","OUTPUT"
"p_QCROPr","E_Euro","-80201.781","K MT","ABS CHANGE"
"p_QCROPr","N_Afr","-9938.2812","K MT","ABS CHANGE"
"p_QCROPr","SSA","-176001.62","K MT","ABS CHANGE"
"p_QCROPr","S_Amer","-165999.31","K MT","ABS CHANGE"
"p_QCROPr","AUS_NZ","-11381.578","K MT","ABS CHANGE"
"p_QCROPr","EU","-134121.12","K MT","ABS CHANGE"
"p_QCROPr","S_Asia","-91071.375","K MT","ABS CHANGE"
"p_QCROPr","CC_Amer","-25120.641","K MT","ABS CHANGE"
"p_QCROPr","S_Afr","-4950.8867","K MT","ABS CHANGE"
"p_QCROPr","SE_Asia","-152347.19","K MT","ABS CHANGE"
"p_QCROPr","CAN","-20846.734","K MT","ABS CHANGE"
"p_QCROPr","US","-103795","K MT","ABS CHANGE"
"p_QCROPr","CHN_MNG","-194708.25","K MT","ABS CHANGE"
"p_QCROPr","M_East","-36868.344","K MT","ABS CHANGE"
"p_QCROPr","JPN_KR","-6955.2031","K MT","ABS CHANGE"
"p_QCROPr","C_Asia","-4762.1562","K MT","ABS CHANGE"
